"idx","level_1","level_2","level_3","level_4","level_5"
497,"08019303067","08019303","080193","08","09"
498,"08019303068","08019303","080193","08","09"
499,"08019303069","08019303","080193","08","09"
500,"08019303070","08019303","080193","08","09"
501,"08019303071","08019303","080193","08","09"
502,"08019303072","08019303","080193","08","09"
503,"08019303073","08019303","080193","08","09"
504,"08019303074","08019303","080193","08","09"
505,"08019303075","08019303","080193","08","09"
506,"08019303076","08019303","080193","08","09"
507,"08019303077","08019303","080193","08","09"
508,"08019303078","08019303","080193","08","09"
509,"08019303079","08019303","080193","08","09"
510,"08019303080","08019303","080193","08","09"
511,"08019303081","08019303","080193","08","09"
512,"08019303082","08019303","080193","08","09"
513,"08019303083","08019303","080193","08","09"
514,"08019303084","08019303","080193","08","09"
515,"08019303085","08019303","080193","08","09"
516,"08019303086","08019303","080193","08","09"
517,"08019303087","08019303","080193","08","09"
518,"08019303088","08019303","080193","08","09"
519,"08019303089","08019303","080193","08","09"
520,"08019303090","08019303","080193","08","09"
521,"08019303091","08019303","080193","08","09"
522,"08019303092","08019303","080193","08","09"
523,"08019303093","08019303","080193","08","09"
524,"08019303094","08019303","080193","08","09"
525,"08019303095","08019303","080193","08","09"
526,"08019303096","08019303","080193","08","09"
527,"08019303097","08019303","080193","08","09"
528,"08019303098","08019303","080193","08","09"
529,"08019303099","08019303","080193","08","09"
530,"08019303100","08019303","080193","08","09"
531,"08019303101","08019303","080193","08","09"
532,"08019303102","08019303","080193","08","09"
533,"08019303103","08019303","080193","08","09"
534,"08019303104","08019303","080193","08","09"
535,"08019303105","08019303","080193","08","09"
536,"08019303106","08019303","080193","08","09"
537,"08019303107","08019303","080193","08","09"
538,"08019303108","08019303","080193","08","09"
539,"08019303109","08019303","080193","08","09"
540,"08019303110","08019303","080193","08","09"
541,"08019303111","08019303","080193","08","09"
542,"08019303112","08019303","080193","08","09"
543,"08019303113","08019303","080193","08","09"
544,"08019303114","08019303","080193","08","09"
545,"08019303211","08019303","080193","08","09"
546,"08019303212","08019303","080193","08","09"
547,"08019303213","08019303","080193","08","09"
548,"08019304001","08019304","080193","08","09"
549,"08019304002","08019304","080193","08","09"
550,"08019304003","08019304","080193","08","09"
551,"08019304004","08019304","080193","08","09"
552,"08019304005","08019304","080193","08","09"
553,"08019304006","08019304","080193","08","09"
554,"08019304007","08019304","080193","08","09"
555,"08019304008","08019304","080193","08","09"
556,"08019304009","08019304","080193","08","09"
557,"08019304010","08019304","080193","08","09"
558,"08019304011","08019304","080193","08","09"
559,"08019304012","08019304","080193","08","09"
560,"08019304013","08019304","080193","08","09"
561,"08019304014","08019304","080193","08","09"
562,"08019304015","08019304","080193","08","09"
563,"08019304016","08019304","080193","08","09"
564,"08019304017","08019304","080193","08","09"
565,"08019304018","08019304","080193","08","09"
566,"08019304019","08019304","080193","08","09"
567,"08019304020","08019304","080193","08","09"
568,"08019304021","08019304","080193","08","09"
569,"08019304022","08019304","080193","08","09"
570,"08019304023","08019304","080193","08","09"
571,"08019304024","08019304","080193","08","09"
572,"08019304025","08019304","080193","08","09"
573,"08019304026","08019304","080193","08","09"
574,"08019304027","08019304","080193","08","09"
575,"08019304028","08019304","080193","08","09"
576,"08019304029","08019304","080193","08","09"
577,"08019304030","08019304","080193","08","09"
578,"08019304031","08019304","080193","08","09"
579,"08019304032","08019304","080193","08","09"
580,"08019304033","08019304","080193","08","09"
581,"08019304034","08019304","080193","08","09"
582,"08019304035","08019304","080193","08","09"
583,"08019304036","08019304","080193","08","09"
584,"08019304037","08019304","080193","08","09"
585,"08019304038","08019304","080193","08","09"
586,"08019304039","08019304","080193","08","09"
587,"08019304040","08019304","080193","08","09"
588,"08019304041","08019304","080193","08","09"
589,"08019304042","08019304","080193","08","09"
590,"08019304043","08019304","080193","08","09"
591,"08019304044","08019304","080193","08","09"
592,"08019304045","08019304","080193","08","09"
593,"08019304046","08019304","080193","08","09"
594,"08019304047","08019304","080193","08","09"
595,"08019304048","08019304","080193","08","09"
596,"08019304049","08019304","080193","08","09"
597,"08019304050","08019304","080193","08","09"
598,"08019304051","08019304","080193","08","09"
599,"08019304052","08019304","080193","08","09"
600,"08019304053","08019304","080193","08","09"
601,"08019304054","08019304","080193","08","09"
602,"08019304055","08019304","080193","08","09"
603,"08019304056","08019304","080193","08","09"
604,"08019304084","08019304","080193","08","09"
605,"08019305001","08019305","080193","08","09"
606,"08019305002","08019305","080193","08","09"
607,"08019305003","08019305","080193","08","09"
608,"08019305004","08019305","080193","08","09"
609,"08019305005","08019305","080193","08","09"
610,"08019305006","08019305","080193","08","09"
611,"08019305007","08019305","080193","08","09"
612,"08019305008","08019305","080193","08","09"
613,"08019305009","08019305","080193","08","09"
614,"08019305010","08019305","080193","08","09"
615,"08019305011","08019305","080193","08","09"
616,"08019305012","08019305","080193","08","09"
617,"08019305013","08019305","080193","08","09"
618,"08019305014","08019305","080193","08","09"
619,"08019305015","08019305","080193","08","09"
620,"08019305016","08019305","080193","08","09"
621,"08019305017","08019305","080193","08","09"
622,"08019305018","08019305","080193","08","09"
623,"08019305019","08019305","080193","08","09"
624,"08019305020","08019305","080193","08","09"
625,"08019305021","08019305","080193","08","09"
626,"08019305022","08019305","080193","08","09"
627,"08019305023","08019305","080193","08","09"
628,"08019305024","08019305","080193","08","09"
629,"08019305025","08019305","080193","08","09"
630,"08019305026","08019305","080193","08","09"
631,"08019305027","08019305","080193","08","09"
632,"08019305028","08019305","080193","08","09"
633,"08019305029","08019305","080193","08","09"
634,"08019305030","08019305","080193","08","09"
635,"08019305031","08019305","080193","08","09"
636,"08019305032","08019305","080193","08","09"
637,"08019305033","08019305","080193","08","09"
638,"08019305034","08019305","080193","08","09"
639,"08019305035","08019305","080193","08","09"
640,"08019305036","08019305","080193","08","09"
641,"08019305037","08019305","080193","08","09"
642,"08019305038","08019305","080193","08","09"
643,"08019305039","08019305","080193","08","09"
644,"08019305040","08019305","080193","08","09"
645,"08019305041","08019305","080193","08","09"
646,"08019305042","08019305","080193","08","09"
647,"08019305043","08019305","080193","08","09"
648,"08019305044","08019305","080193","08","09"
649,"08019305045","08019305","080193","08","09"
650,"08019305046","08019305","080193","08","09"
651,"08019305047","08019305","080193","08","09"
652,"08019305048","08019305","080193","08","09"
653,"08019305049","08019305","080193","08","09"
654,"08019305050","08019305","080193","08","09"
655,"08019305051","08019305","080193","08","09"
656,"08019305052","08019305","080193","08","09"
657,"08019305053","08019305","080193","08","09"
658,"08019305054","08019305","080193","08","09"
659,"08019305055","08019305","080193","08","09"
660,"08019305056","08019305","080193","08","09"
661,"08019305057","08019305","080193","08","09"
662,"08019305058","08019305","080193","08","09"
663,"08019305059","08019305","080193","08","09"
664,"08019305060","08019305","080193","08","09"
665,"08019305061","08019305","080193","08","09"
666,"08019305062","08019305","080193","08","09"
667,"08019305063","08019305","080193","08","09"
668,"08019305064","08019305","080193","08","09"
669,"08019305065","08019305","080193","08","09"
670,"08019305066","08019305","080193","08","09"
671,"08019305067","08019305","080193","08","09"
672,"08019305068","08019305","080193","08","09"
673,"08019305069","08019305","080193","08","09"
674,"08019305070","08019305","080193","08","09"
675,"08019305071","08019305","080193","08","09"
676,"08019305072","08019305","080193","08","09"
677,"08019305073","08019305","080193","08","09"
678,"08019305074","08019305","080193","08","09"
679,"08019305075","08019305","080193","08","09"
680,"08019305076","08019305","080193","08","09"
681,"08019305077","08019305","080193","08","09"
682,"08019305078","08019305","080193","08","09"
