ca,pro,muni,dist,seccen,idx
09,08,080193,08019301,08019301013,646
09,08,080193,08019301,08019301013,647
09,08,080193,08019301,08019301013,648
09,08,080193,08019301,08019301014,649
09,08,080193,08019301,08019301014,650
09,08,080193,08019301,08019301014,651
09,08,080193,08019301,08019301015,652
09,08,080193,08019301,08019301015,653
09,08,080193,08019301,08019301015,654
09,08,080193,08019301,08019301016,655
09,08,080193,08019301,08019301016,656
09,08,080193,08019301,08019301016,657
09,08,080193,08019301,08019301017,658
09,08,080193,08019301,08019301017,659
09,08,080193,08019301,08019301017,660
09,08,080193,08019301,08019301018,661
09,08,080193,08019301,08019301018,662
09,08,080193,08019301,08019301018,663
09,08,080193,08019301,08019301019,664
09,08,080193,08019301,08019301019,665
09,08,080193,08019301,08019301019,666
09,08,080193,08019301,08019301020,667
09,08,080193,08019301,08019301020,668
09,08,080193,08019301,08019301020,669
09,08,080193,08019301,08019301021,670
09,08,080193,08019301,08019301021,671
09,08,080193,08019301,08019301021,672
09,08,080193,08019301,08019301022,673
09,08,080193,08019301,08019301022,674
09,08,080193,08019301,08019301022,675
09,08,080193,08019301,08019301023,676
09,08,080193,08019301,08019301023,677
09,08,080193,08019301,08019301023,678
09,08,080193,08019301,08019301025,679
09,08,080193,08019301,08019301025,680
09,08,080193,08019301,08019301025,681
09,08,080193,08019301,08019301026,682
09,08,080193,08019301,08019301026,683
09,08,080193,08019301,08019301026,684
09,08,080193,08019301,08019301027,685
09,08,080193,08019301,08019301027,686
09,08,080193,08019301,08019301027,687
09,08,080193,08019301,08019301028,688
09,08,080193,08019301,08019301028,689
09,08,080193,08019301,08019301028,690
09,08,080193,08019301,08019301029,691
09,08,080193,08019301,08019301029,692
09,08,080193,08019301,08019301029,693
09,08,080193,08019301,08019301030,694
09,08,080193,08019301,08019301030,695
09,08,080193,08019301,08019301030,696
09,08,080193,08019301,08019301031,697
09,08,080193,08019301,08019301031,698
09,08,080193,08019301,08019301031,699
09,08,080193,08019301,08019301032,700
09,08,080193,08019301,08019301032,701
09,08,080193,08019301,08019301032,702
09,08,080193,08019301,08019301033,703
